Title,Popularity,Score,Last_day_in_cinema
Superboys of Malegaon,97.5,8,2025-05-09
Flow,71.9,8,2024-11-07
The Wild Robot,68.8,8,2024-11-21
Sinners,257.0,7,2025-06-25
The Passion of the Christ,208.6,7,2004-05-05
Moana 2,190.3,7,2025-01-30
Mufasa: The Lion King,181.6,7,2025-02-26
The Gorge,117.1,7,2025-04-24
Una pequeña confusión,83.4,7,2025-03-05
Memoir of a Snail,82.4,7,2024-12-26
My Fault,81.4,7,2023-08-17
Despicable Me 4,79.4,7,2024-08-29
Your Fault,67.9,7,2025-03-06
Companion,66.2,7,2025-04-02
A Minecraft Movie,621.9,6,2025-06-09
The Woman in the Yard,291.7,6,2025-06-05
Mickey 17,147.5,6,2025-05-09
Sugar Baby,123.0,6,2024-12-24
Night Shift,114.9,6,2025-01-09
Cosmic Chaos,110.8,6,2023-10-12
Heart Eyes,79.7,6,2025-04-17
Popeye the Slayer Man,76.4,6,2025-05-30
Plankton: The Movie,74.5,6,2025-05-17
iHostage,73.7,6,2025-06-27
Ask Me What You Want,130.2,5,2025-02-07
Peter Pan's Neverland Nightmare,108.9,5,2025-03-24
825 Forest Road,98.4,5,2025-06-13
Nightwatch: Demons Are Forever,97.9,5,2024-02-22
Snow White,94.9,4,2025-05-28
Ghost Game,76.1,3,2024-12-27
Laila,144.1,1,2025-04-25
